"item_id","quality_parameter_id","minimum_value","maximum_value"
"LUB10","QPARAM013","01",
"LUB10","QPARAM016","Pass","Fail"
"LUB10","QPARAM036","10","14"
"LUB01","QPARAM002","WHITE ","3"
"LUB01","QPARAM012","Pass","Fail"
"LUB01","QPARAM035","Large",
"LUB01","QPARAM035","Normal",
"LUB01","QPARAM035","Small",
"LUB02","QPARAM002","WHITE ","3"
"LUB02","QPARAM012","Pass","Fail"
"LUB02","QPARAM035","Large",
"LUB02","QPARAM035","Normal",
"LUB02","QPARAM035","Small",
"LUB03","QPARAM002","WHITE ","3"
"LUB03","QPARAM012","Pass","Fail"
"LUB03","QPARAM035","Large",
"LUB03","QPARAM035","Normal",
"LUB03","QPARAM035","Small",
"LUB04","QPARAM002","WHITE ","3"
"LUB04","QPARAM012","Pass","Fail"
"LUB04","QPARAM035","Large",
"LUB04","QPARAM035","Normal",
"LUB04","QPARAM035","Small",
"LUB05","QPARAM002","WHITE ","3"
"LUB05","QPARAM012","Pass","Fail"
"LUB05","QPARAM035","Large",
"LUB05","QPARAM035","Normal",
"LUB05","QPARAM035","Small",
"LUB06","QPARAM002","WHITE ","3"
"LUB06","QPARAM013","01",
"LUB06","QPARAM016","Pass","Fail"
"LUB06","QPARAM036","10","14"
"MIG01","QPARAM001","0.77","0.79"
"MIG01","QPARAM022","0",
"MIG01","QPARAM028","Pass","Fail"
"MIG01","QPARAM032","Pass","Fail"
"MIG01","QPARAM047","400","700"
"MIG02","QPARAM001","0.77","0.79"
"MIG02","QPARAM022","0",
"MIG02","QPARAM029","Pass","Fail"
"MIG02","QPARAM032","Pass","Fail"
"MIG02","QPARAM047","400","700"
"MIG03","QPARAM001","0.77","0.79"
"MIG03","QPARAM022","0",
"MIG03","QPARAM028","Pass","Fail"
"MIG03","QPARAM032","Pass","Fail"
"MIG03","QPARAM047","400","700"
"MIG04","QPARAM001","0.77","0.79"
"MIG04","QPARAM022","0",
"MIG04","QPARAM028","Pass","Fail"
"MIG04","QPARAM032","Pass","Fail"
"MIG04","QPARAM047","400","700"
"MIG05","QPARAM001","0.77","0.79"
"MIG05","QPARAM022","0",
"MIG05","QPARAM028","Pass","Fail"
"MIG05","QPARAM032","Pass","Fail"
"MIG05","QPARAM047","400","700"
"MIG06","QPARAM001","0.77","0.79"
"MIG06","QPARAM022","0",
"MIG06","QPARAM028","Pass","Fail"
"MIG06","QPARAM032","Pass","Fail"
"MIG06","QPARAM047","400","700"
"MIG07","QPARAM001","0.77","0.79"
"MIG07","QPARAM022","0",
"MIG07","QPARAM028","Pass","Fail"
"MIG07","QPARAM032","Pass","Fail"
"MIG07","QPARAM047","400","700"
"MIG08","QPARAM001","0.77","0.79"
"MIG08","QPARAM022","0",
"MIG08","QPARAM028","Pass","Fail"
"MIG08","QPARAM032","Pass","Fail"
"MIG08","QPARAM047","400","700"
"MIG09","QPARAM001","0.77","0.79"
"MIG09","QPARAM022","0",
"MIG09","QPARAM028","Pass","Fail"
"MIG09","QPARAM032","Pass","Fail"
"MIG09","QPARAM047","400","700"
"MIG10","QPARAM001","0.77","0.79"
"MIG10","QPARAM022","0",
"MIG10","QPARAM028","Pass","Fail"
"MIG10","QPARAM032","Pass","Fail"
"MIG10","QPARAM047","400","700"
"PAC01","QPARAM004","905X 90 (MM)",
"PAC01","QPARAM012","Pass","Fail"
"PAC01","QPARAM016","Pass","Fail"
"PAC02","QPARAM004",,
"PAC02","QPARAM012","Pass","Fail"
"PAC02","QPARAM016","Pass","Fail"
"PAC03","QPARAM002","WHITE ","3"
"PAC03","QPARAM003","150",
"PAC03","QPARAM006","48",
"PAC03","QPARAM016","Pass","Fail"
"PAC04","QPARAM002","WHITE ","3"
"PAC04","QPARAM003","150",
"PAC04","QPARAM006","48",
"PAC04","QPARAM016","Pass","Fail"
"PAC05","QPARAM002","WHITE ","3"
"PAC05","QPARAM003","5",
"PAC05","QPARAM012","Pass","Fail"
"PAC05","QPARAM035",,
"PAC06","QPARAM003","35",
"PAC06","QPARAM004","17X21X75",
"PAC06","QPARAM009",,
"PAC06","QPARAM025","Pass","Fail"
"PAC06","QPARAM031",,
"PAC07","QPARAM002","WHITE ","3"
"PAC07","QPARAM004","310X110X310",
"PAC07","QPARAM009","Pass","Fail"
"PAC07","QPARAM018","Pass","Fail"
"PAC07","QPARAM041","Pass","Fail"
"PAC08","QPARAM002","WHITE ","3"
"PAC08","QPARAM004","310X110X310",
"PAC08","QPARAM009","Pass","Fail"
"PAC08","QPARAM018","Pass","Fail"
"PAC08","QPARAM041","Pass","Fail"
"PAC09","QPARAM002","WHITE ","3"
"PAC09","QPARAM004","280X110X280",
"PAC09","QPARAM009","Pass","Fail"
"PAC09","QPARAM018","Pass","Fail"
"PAC09","QPARAM041","Pass","Fail"
"PAC10","QPARAM002","WHITE ","3"
"PAC10","QPARAM004","280X110X280",
"PAC10","QPARAM009","Pass","Fail"
"PAC10","QPARAM018","Pass","Fail"
"PAC10","QPARAM041","Pass","Fail"
"PAC11","QPARAM002","WHITE ","3"
"PAC11","QPARAM004","280X110X280",
"PAC11","QPARAM009","Pass","Fail"
"PAC11","QPARAM018","Pass","Fail"
"PAC11","QPARAM041","Pass","Fail"
"PAC12","QPARAM002","WHITE ","3"
"PAC12","QPARAM004","390X115X390",
"PAC12","QPARAM009","Pass","Fail"
"PAC12","QPARAM018","Pass","Fail"
"PAC12","QPARAM041","Pass","Fail"
"PAC13","QPARAM002","WHITE ","3"
"PAC13","QPARAM006","100",
"PAC13","QPARAM042","Pass","Fail"
"PAC14","QPARAM003","3",
"PAC14","QPARAM004","20X31HT",
"PAC14","QPARAM016",,
"PAC14","QPARAM026","Pass","Fail"
"PAC14","QPARAM043","Pass","Fail"
"PAC15","QPARAM003","3",
"PAC15","QPARAM004","28X42HT",
"PAC15","QPARAM016",,
"PAC15","QPARAM026","Pass","Fail"
"PAC15","QPARAM043","Pass","Fail"
"PAC16","QPARAM003","3",
"PAC16","QPARAM004","28X38HT",
"PAC16","QPARAM016",,
"PAC16","QPARAM026","Pass","Fail"
"PAC16","QPARAM043","Pass","Fail"
"PAC17","QPARAM003",,
"PAC17","QPARAM004","W100XT0.5",
"PAC17","QPARAM016","Pass","Fail"
"PAC17","QPARAM019","Pass","Fail"
"PAC18","QPARAM003","15",
"PAC18","QPARAM004","314X4",
"PAC18","QPARAM016","Pass","Fail"
"PAC18","QPARAM020","Pass","Fail"
"PAC19","QPARAM003","300","330"
"PAC19","QPARAM004","300X5X100",
"PAC19","QPARAM016","Pass","Fail"
"PAC19","QPARAM019","Pass","Fail"
"PAC20","QPARAM003","30","40"
"PAC20","QPARAM004","17X20",
"PAC20","QPARAM009","Pass","Fail"
"PAC20","QPARAM025","Pass","Fail"
"PAC20","QPARAM031",,
"PAC21","QPARAM003","300",
"PAC21","QPARAM004","43X28",
"PAC21","QPARAM009","Pass","Fail"
"PAC21","QPARAM025","Pass","Fail"
"PAC21","QPARAM031",,
"SAW01","QPARAM001","0.77","0.79"
"SAW01","QPARAM022","0",
"SAW01","QPARAM028","Pass","Fail"
"SAW01","QPARAM032","Pass","Fail"
"SAW01","QPARAM047","400","700"
"SAW02","QPARAM001","0.77","0.79"
"SAW02","QPARAM022","0",
"SAW02","QPARAM028","Pass","Fail"
"SAW02","QPARAM032","Pass","Fail"
"SAW02","QPARAM047","400","700"
"SAW03","QPARAM001","0.77","0.79"
"SAW03","QPARAM022","0",
"SAW03","QPARAM028","Pass","Fail"
"SAW03","QPARAM032","Pass","Fail"
"SAW03","QPARAM047","400","700"
"SAW04","QPARAM001","0.77","0.79"
"SAW04","QPARAM022","0",
"SAW04","QPARAM028","Pass","Fail"
"SAW04","QPARAM032","Pass","Fail"
"SAW04","QPARAM047","400","700"
"SAW05","QPARAM001","0.77","0.79"
"SAW05","QPARAM022","0",
"SAW05","QPARAM028","Pass","Fail"
"SAW05","QPARAM032","Pass","Fail"
"SAW05","QPARAM047","400","700"
"SAW06","QPARAM001","0.77","0.79"
"SAW06","QPARAM022","0",
"SAW06","QPARAM028","Pass","Fail"
"SAW06","QPARAM032","Pass","Fail"
"SAW06","QPARAM047","400","700"
"SAW07","QPARAM001","0.77","0.79"
"SAW07","QPARAM022","0",
"SAW07","QPARAM028","Pass","Fail"
"SAW07","QPARAM032","Pass","Fail"
"SAW07","QPARAM047","400","700"
"SAW08","QPARAM001","0.77","0.79"
"SAW08","QPARAM022","0",
"SAW08","QPARAM028","Pass","Fail"
"SAW08","QPARAM032","Pass","Fail"
"SAW08","QPARAM047","400","700"
"SAW09","QPARAM001","0.77","0.79"
"SAW09","QPARAM022","0",
"SAW09","QPARAM028","Pass","Fail"
"SAW09","QPARAM032","Pass","Fail"
"SAW09","QPARAM047","400","700"
"SAW10","QPARAM001","0.77","0.79"
"SAW10","QPARAM022","0",
"SAW10","QPARAM028","Pass","Fail"
"SAW10","QPARAM032","Pass","Fail"
"SAW10","QPARAM047","400","700"
"WIR01","QPARAM001","0.77","0.79"
"WIR01","QPARAM011","70","80"
"WIR01","QPARAM023","5.50","Fail"
"WIR01","QPARAM030","5.50",
"WIR01","QPARAM034","5.50","600"
"WIR02","QPARAM001","0.77","0.79"
"WIR02","QPARAM011","01",
"WIR02","QPARAM023","Pass","Fail"
"WIR02","QPARAM030",,
"WIR02","QPARAM034","400","600"
"WIR03","QPARAM001","0.77","0.79"
"WIR03","QPARAM011","01",
"WIR03","QPARAM023","Pass","Fail"
"WIR03","QPARAM030",,
"WIR03","QPARAM034","400","600"
"WIR04","QPARAM001","0.77","0.79"
"WIR04","QPARAM011","01",
"WIR04","QPARAM023","Pass","Fail"
"WIR04","QPARAM030",,
"WIR04","QPARAM034","400","600"
"WIR05","QPARAM001","0.77","0.79"
"WIR05","QPARAM011","01",
"WIR05","QPARAM023","Pass","Fail"
"WIR05","QPARAM030",,
"WIR05","QPARAM034","400","600"
"WIR06","QPARAM001","0.77","0.79"
"WIR06","QPARAM011","5.50",
"WIR06","QPARAM023","5.50","Fail"
"WIR06","QPARAM030","5.50",
"WIR06","QPARAM034","5.50","600"
"WIR07","QPARAM001","0.77","0.79"
"WIR07","QPARAM011","01",
"WIR07","QPARAM023","Pass","Fail"
"WIR07","QPARAM030",,
"WIR07","QPARAM034","400","600"
"WIR08","QPARAM001","0.77","0.79"
"WIR08","QPARAM011","01",
"WIR08","QPARAM023","Pass","Fail"
"WIR08","QPARAM030",,
"WIR08","QPARAM034","400","600"
"WIR09","QPARAM001","0.77","0.79"
"WIR09","QPARAM011","01",
"WIR09","QPARAM023","Pass","Fail"
"WIR09","QPARAM030",,
"WIR09","QPARAM034","400","600"
"WIR10","QPARAM001","0.77","0.79"
"WIR10","QPARAM011","01",
"WIR10","QPARAM023","Pass","Fail"
"WIR10","QPARAM030",,
"WIR10","QPARAM034","400","600"
"WIR11","QPARAM001","0.77","0.79"
"WIR11","QPARAM011","01",
"WIR11","QPARAM023","Pass","Fail"
"WIR11","QPARAM030",,
"WIR11","QPARAM034","400","600"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,"","1","2"
"shape","","1","2"
"ITEM486","QPARAM481","1","2"
,"QPARAM001","0.77","0.79"
"MIG01","QPARAM001","0.77","0.79"
"MIG01","QPARAM001","0.77","0.79"
"MIG01","QPARAM001","0.77","0.79"
"MIG01","QPARAM001","0.77","0.79"
"MIG01","QPARAM001",,
"ITEM695","","34",""
"ITEM123","QPARAM0101","0.14","0.13"
"ITEM124","QPARAM0101","0.14","0.13"
"ITEM875","","ftrh","fgh"
